Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Nangarhar,"1,407",75,673,,,2020-08-21
Nimroz,389,8,376,,,2020-08-21
Nooristan,81,,38,,,2020-08-21
Paktika,206,6,144,,,2020-08-21
Paktya,"1,191",35,859,,,2020-08-21
Panjsher,292,16,260,,,2020-08-21
Parwan,368,18,200,,,2020-08-21
Samangan,327,13,311,,,2020-08-21
Sar-e-Pul,130,6,124,,,2020-08-21
Takhar,"1,082",35,616,,,2020-08-21
Urozgan,59,3,54,,,2020-08-21
Wardak,318,16,289,,,2020-08-21
Zabul,137,7,125,,,2020-08-21
Badakhshan,417,7,99,,,2020-08-20
Badghis,631,9,392,,,2020-08-20
Baghlan,647,30,275,,,2020-08-20
Balkh,"1,949",83,"1,113",,,2020-08-20
Bamyan,846,10,374,,,2020-08-20
Dykundi,586,4,257,,,2020-08-20
Farah,317,15,65,,,2020-08-20
Faryab,254,17,237,,,2020-08-20
Ghazni,553,47,398,,,2020-08-20
Ghor,469,13,184,,,2020-08-20
Helmand,198,25,148,,,2020-08-20
Hirat,"6,003",221,"4,874",,,2020-08-20
Jawzjan,196,6,188,,,2020-08-20
Kabul,"14,839",512,"12,301",,,2020-08-20
Kandahar,"1,431",35,944,,,2020-08-20
Kapisa,205,10,190,,,2020-08-20
Khost,425,37,321,,,2020-08-20
Kunar,409,18,320,,,2020-08-20
Kunduz,576,19,253,,,2020-08-20
Laghman,381,4,151,,,2020-08-20
Logar,539,25,540,,,2020-08-20
Nangarhar,"1,407",75,673,,,2020-08-20
Nimroz,389,8,376,,,2020-08-20
Nooristan,81,,38,,,2020-08-20
Paktika,206,6,144,,,2020-08-20
Paktya,"1,191",35,859,,,2020-08-20
Panjsher,292,16,248,,,2020-08-20
Parwan,368,18,200,,,2020-08-20
Samangan,327,13,311,,,2020-08-20
Sar-e-Pul,130,6,124,,,2020-08-20
Takhar,"1,080",35,616,,,2020-08-20
Urozgan,59,3,54,,,2020-08-20
Wardak,318,16,289,,,2020-08-20
Zabul,137,7,125,,,2020-08-20
Badakhshan,386,7,99,,,2020-08-19
Badghis,628,9,392,,,2020-08-19
Baghlan,644,30,275,,,2020-08-19
Balkh,"1,929",83,"1,091",,,2020-08-19
Bamyan,841,10,374,,,2020-08-19
Dykundi,568,4,252,,,2020-08-19
Farah,311,15,65,,,2020-08-19
Faryab,254,17,237,,,2020-08-19
Ghazni,553,47,398,,,2020-08-19
Ghor,446,13,184,,,2020-08-19
Helmand,198,25,148,,,2020-08-19
Hirat,"5,921",215,"4,524",,,2020-08-19
Jawzjan,196,6,188,,,2020-08-19
Kabul,"14,806",512,"12,287",,,2020-08-19
Kandahar,"1,431",35,944,,,2020-08-19
Kapisa,205,10,190,,,2020-08-19
Khost,425,37,303,,,2020-08-19
Kunar,409,18,320,,,2020-08-19
Kunduz,569,19,253,,,2020-08-19
Laghman,381,4,151,,,2020-08-19
Logar,539,25,446,,,2020-08-19
Nangarhar,"1,401",75,673,,,2020-08-19
Nimroz,389,8,376,,,2020-08-19
Nooristan,81,,38,,,2020-08-19
Paktika,206,4,144,,,2020-08-19
Paktya,"1,191",35,847,,,2020-08-19
Panjsher,290,16,248,,,2020-08-19
Parwan,368,18,200,,,2020-08-19
Samangan,327,13,311,,,2020-08-19
Sar-e-Pul,130,6,124,,,2020-08-19
Takhar,"1,062",33,616,,,2020-08-19
Urozgan,59,3,54,,,2020-08-19
Wardak,318,16,289,,,2020-08-19
Zabul,137,7,125,,,2020-08-19
Badakhshan,386,7,99,,,2020-08-18
Badghis,628,9,392,,,2020-08-18
Baghlan,644,30,275,,,2020-08-18
Balkh,"1,929",83,"1,091",,,2020-08-18
Bamyan,841,10,374,,,2020-08-18
Dykundi,568,4,252,,,2020-08-18
Farah,311,15,65,,,2020-08-18
Faryab,254,17,237,,,2020-08-18
Ghazni,553,47,398,,,2020-08-18
Ghor,446,13,184,,,2020-08-18
Helmand,198,25,148,,,2020-08-18
Hirat,"5,921",215,"4,524",,,2020-08-18
Jawzjan,196,6,188,,,2020-08-18
Kabul,"14,806",512,"12,287",,,2020-08-18
Kandahar,"1,431",35,944,,,2020-08-18
Kapisa,205,10,190,,,2020-08-18
Khost,425,37,303,,,2020-08-18
Kunar,409,18,320,,,2020-08-18
Kunduz,569,19,253,,,2020-08-18
Laghman,381,4,151,,,2020-08-18
Logar,539,25,446,,,2020-08-18
Nangarhar,"1,401",75,673,,,2020-08-18
Nimroz,389,8,376,,,2020-08-18
Nooristan,81,,38,,,2020-08-18
Paktika,206,4,144,,,2020-08-18
Paktya,"1,191",35,847,,,2020-08-18
Panjsher,290,16,248,,,2020-08-18
Parwan,368,18,200,,,2020-08-18
Samangan,327,13,311,,,2020-08-18
Sar-e-Pul,130,6,124,,,2020-08-18
Takhar,"1,062",33,616,,,2020-08-18
Urozgan,59,3,54,,,2020-08-18
Wardak,318,16,289,,,2020-08-18
Zabul,137,7,125,,,2020-08-18
Badakhshan,386,7,99,,,2020-08-17
Badghis,628,9,392,,,2020-08-17
Baghlan,644,30,275,,,2020-08-17
Balkh,"1,929",83,"1,091",,,2020-08-17
Bamyan,841,10,374,,,2020-08-17
Dykundi,568,4,252,,,2020-08-17
Farah,311,15,65,,,2020-08-17
Faryab,254,17,237,,,2020-08-17
Ghazni,553,47,398,,,2020-08-17
Ghor,446,13,184,,,2020-08-17
Helmand,198,25,148,,,2020-08-17
Hirat,"5,921",215,"4,524",,,2020-08-17
Jawzjan,196,6,188,,,2020-08-17
Kabul,"14,806",512,"12,287",,,2020-08-17
Kandahar,"1,431",35,944,,,2020-08-17
Kapisa,205,10,190,,,2020-08-17
Khost,425,37,303,,,2020-08-17
Kunar,409,18,320,,,2020-08-17
Kunduz,569,19,253,,,2020-08-17
Laghman,380,4,151,,,2020-08-17
Logar,539,25,446,,,2020-08-17
Nangarhar,"1,401",75,673,,,2020-08-17
Nimroz,389,8,376,,,2020-08-17
Nooristan,79,,38,,,2020-08-17
Paktika,206,4,144,,,2020-08-17
Paktya,"1,191",35,847,,,2020-08-17
Panjsher,290,16,248,,,2020-08-17
Parwan,368,18,200,,,2020-08-17
Samangan,327,13,311,,,2020-08-17
Sar-e-Pul,130,6,124,,,2020-08-17
Takhar,"1,062",33,616,,,2020-08-17
Urozgan,59,3,54,,,2020-08-17
Wardak,318,16,289,,,2020-08-17
Zabul,137,7,125,,,2020-08-17
Badakhshan,386,7,99,,,2020-08-14
Badghis,625,9,392,,,2020-08-14
Baghlan,643,30,275,,,2020-08-14
Balkh,"1,925",81,"1,043",,,2020-08-14
Bamyan,837,10,345,,,2020-08-14
Dykundi,563,4,101,,,2020-08-14
Farah,311,15,65,,,2020-08-14
Faryab,254,17,237,,,2020-08-14
Ghazni,553,46,398,,,2020-08-14
Ghor,423,13,184,,,2020-08-14
Helmand,198,25,148,,,2020-08-14
Hirat,"5,882",213,"4,524",,,2020-08-14
Jawzjan,196,6,188,,,2020-08-14
Kabul,"14,802",512,"12,287",,,2020-08-14
Kandahar,"1,431",35,944,,,2020-08-14
Kapisa,205,10,190,,,2020-08-14
Khost,425,37,303,,,2020-08-14
Kunar,409,18,320,,,2020-08-14
Kunduz,564,19,253,,,2020-08-14
Laghman,380,4,151,,,2020-08-14
Logar,539,23,446,,,2020-08-14
Nangarhar,"1,401",75,673,,,2020-08-14
Nimroz,389,8,376,,,2020-08-14
Nooristan,79,,38,,,2020-08-14
Paktika,206,4,144,,,2020-08-14
Paktya,"1,191",35,847,,,2020-08-14
Panjsher,290,16,248,,,2020-08-14
Parwan,368,18,187,,,2020-08-14
Samangan,327,13,311,,,2020-08-14
Sar-e-Pul,130,6,124,,,2020-08-14
Takhar,"1,057",33,616,,,2020-08-14
Urozgan,59,3,54,,,2020-08-14
Wardak,318,16,289,,,2020-08-14
Zabul,137,7,125,,,2020-08-14
Badakhshan,386,7,99,,,2020-08-13
Badghis,620,9,392,,,2020-08-13
Baghlan,643,30,275,,,2020-08-13
Balkh,"1,925",81,"1,043",,,2020-08-13
Bamyan,833,10,345,,,2020-08-13
Dykundi,558,4,101,,,2020-08-13
Farah,311,15,65,,,2020-08-13
Faryab,254,17,237,,,2020-08-13
Ghazni,541,46,368,,,2020-08-13
Ghor,423,13,184,,,2020-08-13
Helmand,198,25,148,,,2020-08-13
Hirat,"5,846",208,"4,524",,,2020-08-13
Jawzjan,196,6,188,,,2020-08-13
Kabul,"14,798",512,"12,287",,,2020-08-13
Kandahar,"1,431",35,944,,,2020-08-13
Kapisa,205,10,190,,,2020-08-13
Khost,425,37,303,,,2020-08-13
Kunar,408,18,320,,,2020-08-13
Kunduz,564,19,253,,,2020-08-13
Laghman,380,4,151,,,2020-08-13
Logar,537,23,446,,,2020-08-13
Nangarhar,"1,399",75,673,,,2020-08-13
Nimroz,389,8,376,,,2020-08-13
Nooristan,79,,38,,,2020-08-13
Paktika,206,4,144,,,2020-08-13
Paktya,"1,190",35,666,,,2020-08-13
Panjsher,290,16,248,,,2020-08-13
Parwan,368,18,187,,,2020-08-13
Samangan,327,13,311,,,2020-08-13
Sar-e-Pul,130,6,124,,,2020-08-13
Takhar,"1,057",33,616,,,2020-08-13
Urozgan,59,3,54,,,2020-08-13
Wardak,318,16,289,,,2020-08-13
Zabul,137,7,125,,,2020-08-13
Badakhshan,385,7,99,,,2020-08-12
Badghis,619,9,392,,,2020-08-12
Baghlan,643,30,275,,,2020-08-12
Balkh,"1,918",80,"1,043",,,2020-08-12
Bamyan,833,10,345,,,2020-08-12
Dykundi,547,4,101,,,2020-08-12
Farah,311,15,65,,,2020-08-12
Faryab,254,17,237,,,2020-08-12
Ghazni,541,46,368,,,2020-08-12
Ghor,412,13,184,,,2020-08-12
Helmand,197,25,148,,,2020-08-12
Hirat,"5,816",202,"4,524",,,2020-08-12
Jawzjan,196,6,188,,,2020-08-12
Kabul,"14,791",512,"12,275",,,2020-08-12
Kandahar,"1,429",35,941,,,2020-08-12
Kapisa,205,10,190,,,2020-08-12
Khost,425,37,303,,,2020-08-12
Kunar,408,17,320,,,2020-08-12
Kunduz,563,19,253,,,2020-08-12
Laghman,380,4,151,,,2020-08-12
Logar,535,23,446,,,2020-08-12
Nangarhar,"1,395",75,673,,,2020-08-12
Nimroz,387,8,371,,,2020-08-12
Nooristan,77,,38,,,2020-08-12
Paktika,206,4,144,,,2020-08-12
Paktya,"1,190",35,666,,,2020-08-12
Panjsher,290,16,248,,,2020-08-12
Parwan,368,18,187,,,2020-08-12
Samangan,327,13,311,,,2020-08-12
Sar-e-Pul,130,6,124,,,2020-08-12
Takhar,"1,053",33,616,,,2020-08-12
Urozgan,59,2,54,,,2020-08-12
Wardak,318,16,289,,,2020-08-12
Zabul,137,7,125,,,2020-08-12
Badakhshan,383,7,99,,,2020-08-11
Badghis,619,9,392,,,2020-08-11
Baghlan,643,30,275,,,2020-08-11
Balkh,"1,903",80,"1,043",,,2020-08-11
Bamyan,833,10,345,,,2020-08-11
Dykundi,544,4,101,,,2020-08-11
Farah,311,15,65,,,2020-08-11
Faryab,254,17,237,,,2020-08-11
Ghazni,541,46,368,,,2020-08-11
Ghor,412,12,184,,,2020-08-11
Helmand,197,25,148,,,2020-08-11
Hirat,"5,790",197,"4,524",,,2020-08-11
Jawzjan,196,6,188,,,2020-08-11
Kabul,"14,788",512,"12,275",,,2020-08-11
Kandahar,"1,414",35,932,,,2020-08-11
Kapisa,205,10,190,,,2020-08-11
Khost,425,37,303,,,2020-08-11
Kunar,408,17,320,,,2020-08-11
Kunduz,563,16,197,,,2020-08-11
Laghman,377,4,151,,,2020-08-11
Logar,535,23,446,,,2020-08-11
Nangarhar,"1,393",75,673,,,2020-08-11
Nimroz,384,8,371,,,2020-08-11
Nooristan,77,,38,,,2020-08-11
Paktika,206,4,144,,,2020-08-11
Paktya,"1,190",35,666,,,2020-08-11
Panjsher,290,16,248,,,2020-08-11
Parwan,368,18,187,,,2020-08-11
Samangan,327,13,311,,,2020-08-11
Sar-e-Pul,130,6,124,,,2020-08-11
Takhar,"1,049",32,402,,,2020-08-11
Urozgan,59,2,54,,,2020-08-11
Wardak,318,16,289,,,2020-08-11
Zabul,137,7,125,,,2020-08-11
Badakhshan,381,7,99,,,2020-08-07
Badghis,609,7,360,,,2020-08-07
Baghlan,642,30,275,,,2020-08-07
Balkh,"1,890",73,925,,,2020-08-07
Bamyan,823,10,328,,,2020-08-07
Dykundi,535,4,101,,,2020-08-07
Farah,305,15,65,,,2020-08-07
Faryab,238,13,110,,,2020-08-07
Ghazni,541,42,368,,,2020-08-07
Ghor,401,8,157,,,2020-08-07
Helmand,194,25,148,,,2020-08-07
Hirat,"5,713",182,"4,524",,,2020-08-07
Jawzjan,196,6,188,,,2020-08-07
Kabul,"14,753",512,"12,193",,,2020-08-07
Kandahar,"1,390",35,911,,,2020-08-07
Kapisa,205,10,185,,,2020-08-07
Khost,425,37,303,,,2020-08-07
Kunar,407,17,320,,,2020-08-07
Kunduz,557,16,197,,,2020-08-07
Laghman,376,4,151,,,2020-08-07
Logar,533,23,435,,,2020-08-07
Nangarhar,"1,385",74,673,,,2020-08-07
Nimroz,381,8,370,,,2020-08-07
Nooristan,77,,38,,,2020-08-07
Paktika,206,4,144,,,2020-08-07
Paktya,"1,189",35,637,,,2020-08-07
Panjsher,290,16,248,,,2020-08-07
Parwan,367,18,170,,,2020-08-07
Samangan,327,13,301,,,2020-08-07
Sar-e-Pul,130,6,124,,,2020-08-07
Takhar,"1,038",32,402,,,2020-08-07
Urozgan,57,2,54,,,2020-08-07
Wardak,317,16,274,,,2020-08-07
Zabul,137,7,125,,,2020-08-07
Badakhshan,381,7,99,,,2020-08-06
Badghis,606,7,360,,,2020-08-06
Baghlan,642,30,275,,,2020-08-06
Balkh,"1,876",72,925,,,2020-08-06
Bamyan,823,10,328,,,2020-08-06
Dykundi,535,4,101,,,2020-08-06
Farah,305,15,65,,,2020-08-06
Faryab,238,13,110,,,2020-08-06
Ghazni,541,42,368,,,2020-08-06
Ghor,401,7,157,,,2020-08-06
Helmand,192,25,148,,,2020-08-06
Hirat,"5,677",177,"4,524",,,2020-08-06
Jawzjan,196,6,188,,,2020-08-06
Kabul,"14,745",512,"12,193",,,2020-08-06
Kandahar,"1,380",35,896,,,2020-08-06
Kapisa,205,10,185,,,2020-08-06
Khost,425,37,303,,,2020-08-06
Kunar,407,17,320,,,2020-08-06
Kunduz,557,16,197,,,2020-08-06
Laghman,376,4,151,,,2020-08-06
Logar,533,22,393,,,2020-08-06
Nangarhar,"1,385",74,673,,,2020-08-06
Nimroz,378,8,364,,,2020-08-06
Nooristan,77,,38,,,2020-08-06
Paktika,206,4,144,,,2020-08-06
Paktya,"1,189",35,637,,,2020-08-06
Panjsher,290,16,248,,,2020-08-06
Parwan,367,18,170,,,2020-08-06
Samangan,327,13,301,,,2020-08-06
Sar-e-Pul,130,6,124,,,2020-08-06
Takhar,"1,038",32,402,,,2020-08-06
Urozgan,55,1,54,,,2020-08-06
Wardak,317,16,274,,,2020-08-06
Zabul,137,7,125,,,2020-08-06
Badakhshan,381,7,99,,,2020-08-05
Badghis,603,7,360,,,2020-08-05
Baghlan,642,30,275,,,2020-08-05
Balkh,"1,876",72,925,,,2020-08-05
Bamyan,821,10,328,,,2020-08-05
Dykundi,535,4,101,,,2020-08-05
Farah,305,15,65,,,2020-08-05
Faryab,238,13,110,,,2020-08-05
Ghazni,523,39,356,,,2020-08-05
Ghor,401,7,147,,,2020-08-05
Helmand,191,25,148,,,2020-08-05
Hirat,"5,649",176,"4,524",,,2020-08-05
Jawzjan,196,6,188,,,2020-08-05
Kabul,"14,706",512,"12,193",,,2020-08-05
Kandahar,"1,370",35,870,,,2020-08-05
Kapisa,205,10,185,,,2020-08-05
Khost,425,37,303,,,2020-08-05
Kunar,406,17,320,,,2020-08-05
Kunduz,557,16,197,,,2020-08-05
Laghman,376,4,151,,,2020-08-05
Logar,530,22,393,,,2020-08-05
Nangarhar,"1,384",74,673,,,2020-08-05
Nimroz,376,8,314,,,2020-08-05
Nooristan,77,,38,,,2020-08-05
Paktika,206,4,144,,,2020-08-05
Paktya,"1,189",35,637,,,2020-08-05
Panjsher,290,16,248,,,2020-08-05
Parwan,367,18,170,,,2020-08-05
Samangan,327,13,301,,,2020-08-05
Sar-e-Pul,130,6,124,,,2020-08-05
Takhar,"1,038",32,402,,,2020-08-05
Urozgan,55,1,54,,,2020-08-05
Wardak,317,16,274,,,2020-08-05
Zabul,137,7,125,,,2020-08-05
Badakhshan,381,7,99,,,2020-08-04
Badghis,603,7,330,,,2020-08-04
Baghlan,641,30,275,,,2020-08-04
Balkh,"1,867",71,925,,,2020-08-04
Bamyan,821,10,328,,,2020-08-04
Dykundi,535,4,101,,,2020-08-04
Farah,305,15,65,,,2020-08-04
Faryab,238,13,110,,,2020-08-04
Ghazni,523,39,356,,,2020-08-04
Ghor,401,6,147,,,2020-08-04
Helmand,189,25,148,,,2020-08-04
Hirat,"5,620",172,"4,524",,,2020-08-04
Jawzjan,196,6,188,,,2020-08-04
Kabul,"14,688",512,"12,193",,,2020-08-04
Kandahar,"1,359",35,827,,,2020-08-04
Kapisa,205,10,185,,,2020-08-04
Khost,425,37,303,,,2020-08-04
Kunar,406,17,320,,,2020-08-04
Kunduz,554,16,197,,,2020-08-04
Laghman,376,4,151,,,2020-08-04
Logar,530,22,393,,,2020-08-04
Nangarhar,"1,384",74,673,,,2020-08-04
Nimroz,376,8,314,,,2020-08-04
Nooristan,77,,38,,,2020-08-04
Paktika,206,4,144,,,2020-08-04
Paktya,"1,187",35,637,,,2020-08-04
Panjsher,290,16,248,,,2020-08-04
Parwan,367,18,170,,,2020-08-04
Samangan,327,13,301,,,2020-08-04
Sar-e-Pul,130,6,124,,,2020-08-04
Takhar,"1,033",32,402,,,2020-08-04
Urozgan,55,1,54,,,2020-08-04
Wardak,315,16,274,,,2020-08-04
Zabul,137,7,125,,,2020-08-04
Badakhshan,380,7,99,,,2020-08-03
Badghis,603,7,330,,,2020-08-03
Baghlan,641,30,275,,,2020-08-03
Balkh,"1,862",67,865,,,2020-08-03
Bamyan,821,10,328,,,2020-08-03
Dykundi,535,4,101,,,2020-08-03
Farah,305,15,65,,,2020-08-03
Faryab,238,13,110,,,2020-08-03
Ghazni,523,39,356,,,2020-08-03
Ghor,381,6,147,,,2020-08-03
Helmand,189,25,148,,,2020-08-03
Hirat,"5,616",172,"4,524",,,2020-08-03
Jawzjan,196,6,188,,,2020-08-03
Kabul,"14,681",511,"12,146",,,2020-08-03
Kandahar,"1,359",35,827,,,2020-08-03
Kapisa,205,10,185,,,2020-08-03
Khost,425,37,303,,,2020-08-03
Kunar,406,17,320,,,2020-08-03
Kunduz,554,16,197,,,2020-08-03
Laghman,376,4,151,,,2020-08-03
Logar,530,22,350,,,2020-08-03
Nangarhar,"1,384",74,673,,,2020-08-03
Nimroz,376,8,314,,,2020-08-03
Nooristan,77,,38,,,2020-08-03
Paktika,206,4,144,,,2020-08-03
Paktya,"1,187",35,637,,,2020-08-03
Panjsher,290,16,248,,,2020-08-03
Parwan,367,18,170,,,2020-08-03
Samangan,327,13,293,,,2020-08-03
Sar-e-Pul,130,6,124,,,2020-08-03
Takhar,"1,033",32,402,,,2020-08-03
Urozgan,55,1,54,,,2020-08-03
Wardak,315,16,272,,,2020-08-03
Zabul,137,7,125,,,2020-08-03
Badakhshan,377,7,99,,,2020-07-30
Badghis,598,7,330,,,2020-07-30
Baghlan,636,30,275,,,2020-07-30
Balkh,"1,861",66,865,,,2020-07-30
Bamyan,814,10,328,,,2020-07-30
Dykundi,535,3,101,,,2020-07-30
Farah,305,15,65,,,2020-07-30
Faryab,235,13,110,,,2020-07-30
Ghazni,520,39,356,,,2020-07-30
Ghor,381,6,147,,,2020-07-30
Helmand,189,25,148,,,2020-07-30
Hirat,"5,567",171,"4,486",,,2020-07-30
Jawzjan,196,6,188,,,2020-07-30
Kabul,"14,606",511,"12,146",,,2020-07-30
Kandahar,"1,359",35,827,,,2020-07-30
Kapisa,203,10,185,,,2020-07-30
Khost,425,37,303,,,2020-07-30
Kunar,406,16,320,,,2020-07-30
Kunduz,552,16,197,,,2020-07-30
Laghman,376,4,151,,,2020-07-30
Logar,528,22,350,,,2020-07-30
Nangarhar,"1,383",68,673,,,2020-07-30
Nimroz,376,8,314,,,2020-07-30
Nooristan,77,,38,,,2020-07-30
Paktika,206,4,144,,,2020-07-30
Paktya,"1,185",35,637,,,2020-07-30
Panjsher,289,16,248,,,2020-07-30
Parwan,365,18,170,,,2020-07-30
Samangan,327,12,293,,,2020-07-30
Sar-e-Pul,130,6,124,,,2020-07-30
Takhar,"1,028",31,402,,,2020-07-30
Urozgan,55,1,54,,,2020-07-30
Wardak,315,16,272,,,2020-07-30
Zabul,137,7,125,,,2020-07-30
Badakhshan,373,7,99,,,2020-07-29
Badghis,596,7,330,,,2020-07-29
Baghlan,635,30,275,,,2020-07-29
Balkh,"1,860",66,865,,,2020-07-29
Bamyan,814,10,328,,,2020-07-29
Dykundi,535,3,101,,,2020-07-29
Farah,298,15,65,,,2020-07-29
Faryab,231,13,110,,,2020-07-29
Ghazni,520,39,356,,,2020-07-29
Ghor,379,6,147,,,2020-07-29
Helmand,189,25,148,,,2020-07-29
Hirat,"5,539",171,"4,448",,,2020-07-29
Jawzjan,196,6,188,,,2020-07-29
Kabul,"14,597",511,"12,102",,,2020-07-29
Kandahar,"1,359",35,827,,,2020-07-29
Kapisa,203,10,185,,,2020-07-29
Khost,425,37,303,,,2020-07-29
Kunar,406,16,320,,,2020-07-29
Kunduz,549,16,197,,,2020-07-29
Laghman,376,4,151,,,2020-07-29
Logar,528,22,350,,,2020-07-29
Nangarhar,"1,381",68,673,,,2020-07-29
Nimroz,376,8,314,,,2020-07-29
Nooristan,77,,38,,,2020-07-29
Paktika,206,4,144,,,2020-07-29
Paktya,"1,180",35,637,,,2020-07-29
Panjsher,288,16,248,,,2020-07-29
Parwan,365,18,170,,,2020-07-29
Samangan,327,12,293,,,2020-07-29
Sar-e-Pul,130,6,124,,,2020-07-29
Takhar,"1,026",31,402,,,2020-07-29
Urozgan,55,1,54,,,2020-07-29
Wardak,315,16,272,,,2020-07-29
Zabul,137,7,125,,,2020-07-29
Badakhshan,373,7,99,,,2020-07-28
Badghis,596,7,330,,,2020-07-28
Baghlan,635,30,275,,,2020-07-28
Balkh,"1,860",66,865,,,2020-07-28
Bamyan,802,10,328,,,2020-07-28
Dykundi,529,3,101,,,2020-07-28
Farah,298,15,65,,,2020-07-28
Faryab,231,13,110,,,2020-07-28
Ghazni,520,39,356,,,2020-07-28
Ghor,347,6,147,,,2020-07-28
Helmand,189,25,148,,,2020-07-28
Hirat,"5,503",171,"4,448",,,2020-07-28
Jawzjan,196,6,188,,,2020-07-28
Kabul,"14,580",510,"12,071",,,2020-07-28
Kandahar,"1,359",35,827,,,2020-07-28
Kapisa,203,10,185,,,2020-07-28
Khost,425,37,303,,,2020-07-28
Kunar,406,16,320,,,2020-07-28
Kunduz,549,16,197,,,2020-07-28
Laghman,376,4,151,,,2020-07-28
Logar,528,22,350,,,2020-07-28
Nangarhar,"1,381",68,673,,,2020-07-28
Nimroz,376,8,314,,,2020-07-28
Nooristan,77,,38,,,2020-07-28
Paktika,206,4,144,,,2020-07-28
Paktya,"1,180",35,637,,,2020-07-28
Panjsher,288,16,248,,,2020-07-28
Parwan,365,18,170,,,2020-07-28
Samangan,327,12,293,,,2020-07-28
Sar-e-Pul,130,6,124,,,2020-07-28
Takhar,"1,026",31,402,,,2020-07-28
Urozgan,55,1,54,,,2020-07-28
Wardak,315,16,272,,,2020-07-28
Zabul,137,7,125,,,2020-07-28
Badakhshan,369,7,99,,,2020-07-27
Badghis,584,7,330,,,2020-07-27
Baghlan,634,30,275,,,2020-07-27
Balkh,"1,852",66,852,,,2020-07-27
Bamyan,802,10,328,,,2020-07-27
Dykundi,529,3,101,,,2020-07-27
Farah,298,15,65,,,2020-07-27
Faryab,231,13,110,,,2020-07-27
Ghazni,520,39,356,,,2020-07-27
Ghor,347,6,147,,,2020-07-27
Helmand,189,25,148,,,2020-07-27
Hirat,"5,464",170,"4,315",,,2020-07-27
Jawzjan,196,6,188,,,2020-07-27
Kabul,"14,543",510,"12,057",,,2020-07-27
Kandahar,"1,359",35,827,,,2020-07-27
Kapisa,203,10,185,,,2020-07-27
Khost,425,37,303,,,2020-07-27
Kunar,406,16,320,,,2020-07-27
Kunduz,549,16,197,,,2020-07-27
Laghman,376,4,151,,,2020-07-27
Logar,527,22,350,,,2020-07-27
Nangarhar,"1,381",68,673,,,2020-07-27
Nimroz,376,8,314,,,2020-07-27
Nooristan,77,,38,,,2020-07-27
Paktika,206,4,144,,,2020-07-27
Paktya,"1,180",35,637,,,2020-07-27
Panjsher,288,16,248,,,2020-07-27
Parwan,365,18,170,,,2020-07-27
Samangan,327,12,293,,,2020-07-27
Sar-e-Pul,130,6,124,,,2020-07-27
Takhar,"1,023",31,402,,,2020-07-27
Urozgan,55,1,54,,,2020-07-27
Wardak,315,16,272,,,2020-07-27
Zabul,137,7,125,,,2020-07-27
Badakhshan,363,7,99,,,2020-07-24
Badghis,559,7,262,,,2020-07-24
Baghlan,634,30,212,,,2020-07-24
Balkh,"1,841",62,840,,,2020-07-24
Bamyan,793,10,297,,,2020-07-24
Dykundi,513,3,101,,,2020-07-24
Farah,278,15,65,,,2020-07-24
Faryab,231,13,110,,,2020-07-24
Ghazni,513,37,345,,,2020-07-24
Ghor,321,2,147,,,2020-07-24
Helmand,187,24,146,,,2020-07-24
Hirat,"5,423",165,"4,315",,,2020-07-24
Jawzjan,196,6,188,,,2020-07-24
Kabul,"14,491",489,"12,033",,,2020-07-24
Kandahar,"1,351",35,815,,,2020-07-24
Kapisa,203,9,185,,,2020-07-24
Khost,395,34,280,,,2020-07-24
Kunar,405,16,276,,,2020-07-24
Kunduz,548,15,175,,,2020-07-24
Laghman,375,4,101,,,2020-07-24
Logar,527,22,306,,,2020-07-24
Nangarhar,"1,380",67,640,,,2020-07-24
Nimroz,376,8,314,,,2020-07-24
Nooristan,77,,17,,,2020-07-24
Paktika,206,4,144,,,2020-07-24
Paktya,"1,179",35,613,,,2020-07-24
Panjsher,287,16,248,,,2020-07-24
Parwan,365,18,99,,,2020-07-24
Samangan,327,12,293,,,2020-07-24
Sar-e-Pul,130,6,124,,,2020-07-24
Takhar,"1,011",30,380,,,2020-07-24
Urozgan,54,1,46,,,2020-07-24
Wardak,313,16,262,,,2020-07-24
Zabul,136,7,124,,,2020-07-24
Badakhshan,362,7,99,,,2020-07-23
Badghis,553,7,262,,,2020-07-23
Baghlan,634,30,212,,,2020-07-23
Balkh,"1,841",62,840,,,2020-07-23
Bamyan,782,10,297,,,2020-07-23
Dykundi,513,3,101,,,2020-07-23
Farah,278,15,65,,,2020-07-23
Faryab,231,13,110,,,2020-07-23
Ghazni,513,37,345,,,2020-07-23
Ghor,321,2,147,,,2020-07-23
Helmand,187,23,144,,,2020-07-23
Hirat,"5,405",165,"4,315",,,2020-07-23
Jawzjan,196,6,188,,,2020-07-23
Kabul,"14,484",476,"12,001",,,2020-07-23
Kandahar,"1,350",35,797,,,2020-07-23
Kapisa,201,9,185,,,2020-07-23
Khost,395,34,280,,,2020-07-23
Kunar,400,16,276,,,2020-07-23
Kunduz,544,15,175,,,2020-07-23
Laghman,374,4,101,,,2020-07-23
Logar,527,22,306,,,2020-07-23
Nangarhar,"1,379",67,640,,,2020-07-23
Nimroz,376,8,314,,,2020-07-23
Nooristan,77,,17,,,2020-07-23
Paktika,206,4,144,,,2020-07-23
Paktya,"1,179",35,613,,,2020-07-23
